year	code	weight	code_label	id	binary1	binary2	three_code2	linearSVC_three_code2	linearSVC_binary1	linearSVC_binary2	b1	b2	tc
1990	1	10	relinequality, explicit	216	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2004	1	6.67	relinequality, explicit	217	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2004	5	10	irrelevant	218	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2003	5	10	irrelevant	219	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2006	5	6.67	irrelevant	220	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2003	5	6.67	irrelevant	221	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2003	1	6.67	relinequality, explicit	222	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1983	1	6.67	relinequality, explicit	223	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2001	3	6.67	relchanges (income/wages/earnings/etc.)	224	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1995	1	10	relinequality, explicit	225	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2001	3	6.67	relchanges (income/wages/earnings/etc.)	226	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
1991	1	10	relinequality, explicit	227	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2012	5	6.67	irrelevant	228	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2011	4	6.67	releconomy (employment, economy)	229	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2009	3	6.67	relchanges (income/wages/earnings/etc.)	230	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1996	1	6.67	relinequality, explicit	231	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1998	5	6.67	irrelevant	232	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1980	3	6.67	relchanges (income/wages/earnings/etc.)	233	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2011	4	6.67	releconomy (employment, economy)	234	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2010	2	6.67	relinequality, implicit	235	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	2	10	relinequality, implicit	236	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2001	4	6.67	releconomy (employment, economy)	237	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1993	2	6.67	relinequality, implicit	238	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1981	3	6.67	relchanges (income/wages/earnings/etc.)	239	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2000	3	6.67	relchanges (income/wages/earnings/etc.)	240	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2000	1	10	relinequality, explicit	241	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2000	4	6.67	releconomy (employment, economy)	242	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1991	1	6.67	relinequality, explicit	243	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2002	2	6.67	relinequality, implicit	244	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2004	5	6.67	irrelevant	245	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	2	6.67	relinequality, implicit	246	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2003	5	6.67	irrelevant	247	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1982	2	6.67	relinequality, implicit	248	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1981	3	10	relchanges (income/wages/earnings/etc.)	249	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1984	5	10	irrelevant	250	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2009	4	6.67	releconomy (employment, economy)	251	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1985	3	6.67	relchanges (income/wages/earnings/etc.)	252	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
1980	1	10	relinequality, explicit	253	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1996	5	6.67	irrelevant	254	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	2	2	2	3
2003	5	10	irrelevant	255	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2006	5	6.67	irrelevant	256	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1997	1	10	relinequality, explicit	257	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	1	2	1	1	1
1999	3	10	relchanges (income/wages/earnings/etc.)	258	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
2012	2	6.67	relinequality, implicit	259	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1993	5	6.67	irrelevant	260	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1993	3	6.67	relchanges (income/wages/earnings/etc.)	261	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1992	1	6.67	relinequality, explicit	262	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1993	2	6.67	relinequality, implicit	263	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1980	5	6.67	irrelevant	264	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1985	3	10	relchanges (income/wages/earnings/etc.)	265	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2003	3	6.67	relchanges (income/wages/earnings/etc.)	266	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1984	3	6.67	relchanges (income/wages/earnings/etc.)	267	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
1986	4	10	releconomy (employment, economy)	268	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1988	5	6.67	irrelevant	269	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2000	1	6.67	relinequality, explicit	270	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2008	2	6.67	relinequality, implicit	271	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	1	2	1	1	1
2011	2	6.67	relinequality, implicit	272	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2004	3	10	relchanges (income/wages/earnings/etc.)	273	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
1995	4	10	releconomy (employment, economy)	274	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2007	5	6.67	irrelevant	276	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2006	5	6.67	irrelevant	275	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1999	5	6.67	irrelevant	277	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1992	5	6.67	irrelevant	278	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1982	5	6.67	irrelevant	279	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2012	2	6.67	relinequality, implicit	280	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
1985	5	6.67	irrelevant	281	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2007	3	6.67	relchanges (income/wages/earnings/etc.)	282	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1980	2	6.67	relinequality, implicit	283	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2002	5	6.67	irrelevant	284	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1982	5	6.67	irrelevant	285	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1996	1	1	relinequality, explicit	286	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2008	4	6.67	releconomy (employment, economy)	287	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1991	1	6.67	relinequality, explicit	288	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1992	5	6.67	irrelevant	290	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1983	2	6.67	relinequality, implicit	291	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1997	5	6.67	irrelevant	292	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2004	3	6.67	relchanges (income/wages/earnings/etc.)	293	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2011	5	6.67	irrelevant	294	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1994	5	10	irrelevant	295	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2002	1	1	relinequality, explicit	296	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2010	3	6.67	relchanges (income/wages/earnings/etc.)	297	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
2010	3	6.67	relchanges (income/wages/earnings/etc.)	298	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1989	5	10	irrelevant	299	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2004	4	10	releconomy (employment, economy)	300	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1989	5	10	irrelevant	301	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1984	2	6.67	relinequality, implicit	302	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2001	5	6.67	irrelevant	303	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2004	5	10	irrelevant	304	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1983	4	6.67	releconomy (employment, economy)	305	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2003	5	6.67	irrelevant	306	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2010	1	1	relinequality, explicit	307	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1989	3	6.67	relchanges (income/wages/earnings/etc.)	308	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1983	5	6.67	irrelevant	309	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2003	3	6.67	relchanges (income/wages/earnings/etc.)	310	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1983	2	6.67	relinequality, implicit	311	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2000	1	6.67	relinequality, explicit	312	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	1	1	1	1
1992	5	6.67	irrelevant	313	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2011	1	6.67	relinequality, explicit	314	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2000	1	6.67	relinequality, explicit	315	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1998	3	6.67	relchanges (income/wages/earnings/etc.)	316	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1997	5	6.67	irrelevant	317	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1987	5	6.67	irrelevant	318	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2010	3	6.67	relchanges (income/wages/earnings/etc.)	319	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1992	3	6.67	relchanges (income/wages/earnings/etc.)	320	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1987	5	6.67	irrelevant	321	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1996	3	6.67	relchanges (income/wages/earnings/etc.)	322	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2005	5	10	irrelevant	323	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2006	5	6.67	irrelevant	324	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1988	1	1	relinequality, explicit	325	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1997	5	6.67	irrelevant	326	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2000	5	6.67	irrelevant	327	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2011	4	6.67	releconomy (employment, economy)	328	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1983	5	6.67	irrelevant	329	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	1	2	2	3
2003	3	10	relchanges (income/wages/earnings/etc.)	330	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1994	5	6.67	irrelevant	331	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1992	1	10	relinequality, explicit	332	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1985	5	10	irrelevant	333	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1980	2	6.67	relinequality, implicit	334	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1991	3	6.67	relchanges (income/wages/earnings/etc.)	335	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2008	2	6.67	relinequality, implicit	336	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1995	5	10	irrelevant	337	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2007	4	10	releconomy (employment, economy)	338	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2003	3	10	relchanges (income/wages/earnings/etc.)	339	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2002	2	10	relinequality, implicit	340	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2009	3	6.67	relchanges (income/wages/earnings/etc.)	341	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1981	5	6.67	irrelevant	342	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1982	4	10	releconomy (employment, economy)	343	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1985	5	6.67	irrelevant	344	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2000	1	1	relinequality, explicit	345	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
2001	5	6.67	irrelevant	346	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2012	3	6.67	relchanges (income/wages/earnings/etc.)	347	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
2008	2	6.67	relinequality, implicit	348	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
2009	3	6.67	relchanges (income/wages/earnings/etc.)	349	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
1985	1	6.67	relinequality, explicit	350	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2010	5	6.67	irrelevant	351	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2003	5	10	irrelevant	352	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1987	5	6.67	irrelevant	353	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2007	1	1	relinequality, explicit	354	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2009	3	6.67	relchanges (income/wages/earnings/etc.)	355	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	2	2	1	2	2
2011	5	6.67	irrelevant	356	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1995	5	6.67	irrelevant	357	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1982	3	10	relchanges (income/wages/earnings/etc.)	358	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2002	5	6.67	irrelevant	359	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1991	1	6.67	relinequality, explicit	360	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1980	1	6.67	relinequality, explicit	361	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1981	5	6.67	irrelevant	362	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	2	2	2	3
1989	1	10	relinequality, explicit	363	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1988	3	10	relchanges (income/wages/earnings/etc.)	364	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2007	1	6.67	relinequality, explicit	365	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2005	2	10	relinequality, implicit	366	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
2010	3	6.67	relchanges (income/wages/earnings/etc.)	367	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2003	4	10	releconomy (employment, economy)	368	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1992	3	6.67	relchanges (income/wages/earnings/etc.)	369	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2001	5	6.67	irrelevant	370	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2008	2	6.67	relinequality, implicit	371	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	1	1	1	1
1990	5	6.67	irrelevant	372	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1996	5	6.67	irrelevant	373	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	2	2	2	3
2006	5	6.67	irrelevant	374	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2006	1	1	relinequality, explicit	375	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1983	2	6.67	relinequality, implicit	376	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2005	5	6.67	irrelevant	377	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2003	2	6.67	relinequality, implicit	378	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1986	4	6.67	releconomy (employment, economy)	379	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1982	4	10	releconomy (employment, economy)	380	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1981	5	6.67	irrelevant	381	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1988	3	10	relchanges (income/wages/earnings/etc.)	382	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1990	1	10	relinequality, explicit	383	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2009	2	6.67	relinequality, implicit	384	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
2008	3	6.67	relchanges (income/wages/earnings/etc.)	385	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
2007	5	6.67	irrelevant	386	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2007	5	6.67	irrelevant	387	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	1	2	2	2	3
2006	3	6.67	relchanges (income/wages/earnings/etc.)	388	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1984	5	6.67	irrelevant	389	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2005	3	6.67	relchanges (income/wages/earnings/etc.)	390	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1995	1	10	relinequality, explicit	391	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
2003	5	10	irrelevant	392	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1986	4	10	releconomy (employment, economy)	393	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	2	1	2	1	2	2
1985	5	6.67	irrelevant	394	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	2	2	2	3
1992	1	6.67	relinequality, explicit	395	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
1996	1	10	relinequality, explicit	396	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	2	1	2	1	1	1
1989	5	6.67	irrelevant	397	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1991	3	6.67	relchanges (income/wages/earnings/etc.)	398	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
1990	1	6.67	relinequality, explicit	399	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	2	2	1	1	1
1998	5	6.67	irrelevant	400	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1997	2	6.67	relinequality, implicit	401	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	3	1	2	1	1	1
1998	3	6.67	relchanges (income/wages/earnings/etc.)	402	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1982	5	6.67	irrelevant	403	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1988	5	6.67	irrelevant	404	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1984	5	6.67	irrelevant	405	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1984	5	6.67	irrelevant	406	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1985	3	10	relchanges (income/wages/earnings/etc.)	407	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy				1	2	2
2002	5	6.67	irrelevant	408	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1985	1	6.67	relinequality, explicit	409	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2005	5	10	irrelevant	410	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2011	2	1	relinequality, implicit	411	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1989	3	6.67	relchanges (income/wages/earnings/etc.)	412	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
1981	5	6.67	irrelevant	413	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1997	5	6.67	irrelevant	414	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
1981	2	6.67	relinequality, implicit	415	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	1	1	1	1
1993	5	6.67	irrelevant	416	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1985	5	6.67	irrelevant	417	irrelevant	relchanges/releconomy/irrelevant	irrelevant	1	1	1	2	2	3
1995	2	10	relinequality, implicit	418	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1981	2	6.67	relinequality, implicit	419	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
2008	5	6.67	irrelevant	420	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
2004	5	10	irrelevant	421	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1983	5	6.67	irrelevant	422	irrelevant	relchanges/releconomy/irrelevant	irrelevant	3	2	2	2	2	3
2004	1	1	relinequality, explicit	423	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1990	5	10	irrelevant	424	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1989	3	10	relchanges (income/wages/earnings/etc.)	425	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	3	1	2	1	2	2
1995	2	6.67	relinequality, implicit	426	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1981	2	10	relinequality, implicit	427	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit				1	1	1
1992	5	6.67	irrelevant	428	irrelevant	relchanges/releconomy/irrelevant	irrelevant				2	2	3
1996	1	1	relinequality, explicit	429	explicit/implicit/relchanges/releconomy	explicit/implicit	explicit/implicit	1	1	2	1	1	1
1993	4	6.67	releconomy (employment, economy)	430	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	2	1	2	2
1980	3	6.67	relchanges (income/wages/earnings/etc.)	431	explicit/implicit/relchanges/releconomy	relchanges/releconomy/irrelevant	relchanges/releconomy	1	1	1	1	2	2
